Provinsi,HLS,UHH,RLS,PpK
ACEH,14.36,69.96,9.37,9572
SUMATERA UTARA,13.27,69.23,9.58,10499
SUMATERA BARAT,14.09,69.59,9.07,10790
RIAU,13.28,71.67,9.19,10736
JAMBI,13.04,71.22,8.60,10588
SUMATERA SELATAN,12.54,69.98,8.30,10662
BENGKULU,13.67,69.42,8.87,10487
LAMPUNG,12.73,70.73,8.08,10038
KEP. BANGKA BELITUNG,12.17,70.73,8.08,12819
KEPULAUAN RIAU,12.98,70.12,10.18,14122
DKI JAKARTA,13.07,73.01,11.17,18520
JAWA BARAT,12.61,73.23,8.61,10934
JAWA TENGAH,12.77,74.47,7.75,11034
D I YOGYAKARTA,15.64,75.04,9.64,14111
JAWA TIMUR,13.36,71.38,7.88,11707
BANTEN,13.02,70.02,8.93,12033
BALI,13.40,72.24,9.06,13820
NUSA TENGGARA BARAT,13.90,66.69,7.38,10377
NUSA TENGGARA TIMUR,13.20,67.15,7.69,7554
KALIMANTAN BARAT,12.65,70.76,7.45,8974
KALIMANTAN TENGAH,12.74,69.79,8.64,11182
KALIMANTAN SELATAN,12.81,68.83,8.34,12143
KALIMANTAN TIMUR,13.81,74.61,9.84,12116
KALIMANTAN UTARA,12.94,72.65,9.11,9075
SULAWESI UTARA,12.94,71.76,9.62,10882
SULAWESI TENGAH,13.23,68.83,8.89,9378
SULAWESI SELATAN,13.52,70.66,8.46,11184
SULAWESI TENGGARA,13.68,71.27,9.13,9381
GORONTALO,13.11,68.19,7.90,10157
SULAWESI BARAT,12.86,65.25,7.96,9153
MALUKU,13.97,66.09,10.03,8770
MALUKU UTARA,13.68,68.45,9.09,8140
PAPUA BARAT,13.13,66.14,7.69,7929
PAPUA,11.11,65.93,6.76,6955
